행정구역,2022년07월_남_총인구수,2022년07월_남_연령구간인구수,2022년07월_남_0~9세,2022년07월_남_10~19세,2022년07월_남_20~29세,2022년07월_남_30~39세,2022년07월_남_40~49세,2022년07월_남_50~59세,2022년07월_남_60~69세,2022년07월_남_70~79세,2022년07월_남_80~89세,2022년07월_남_90~99세,2022년07월_남_100세 이상,2022년07월_여_총인구수,2022년07월_여_연령구간인구수,2022년07월_여_0~9세,2022년07월_여_10~19세,2022년07월_여_20~29세,2022년07월_여_30~39세,2022년07월_여_40~49세,2022년07월_여_50~59세,2022년07월_여_60~69세,2022년07월_여_70~79세,2022년07월_여_80~89세,2022년07월_여_90~99세,2022년07월_여_100세 이상
경상남도 창원시 의창구 (4812100000),110212,110212,8324,10051,15091,14542,17327,19992,16703,6244,1810,128,0,106200,106200,7966,9176,11698,12902,16339,20753,16340,6718,3672,625,11
경상남도 창원시 의창구 동읍(4812125000),10027,10027,472,933,1293,938,1501,1987,1791,814,284,14,0,9569,9569,469,824,816,752,1406,1947,1705,937,613,99,1
경상남도 창원시 의창구 북면(4812131000),21660,21660,3058,2169,1833,3443,4143,2873,2805,1032,283,21,0,21348,21348,2866,2087,1462,3673,3660,3121,2676,1021,650,128,4
경상남도 창원시 의창구 대산면(4812132000),3567,3567,126,186,321,378,445,645,869,423,158,16,0,3502,3502,101,173,232,233,319,615,843,528,391,67,0
경상남도 창원시 의창구 의창동(4812151000),25365,25365,2014,2334,3541,3505,4032,4634,3617,1338,328,22,0,24726,24726,1944,2200,2825,3037,3926,4972,3662,1388,661,110,1
경상남도 창원시 의창구 팔룡동(4812152000),13111,13111,961,1398,2047,1883,2070,2539,1603,475,128,7,0,12594,12594,922,1187,1708,1678,2165,2624,1514,521,235,39,1
경상남도 창원시 의창구 명곡동(4812153000),20802,20802,1060,1938,3281,2278,2999,4366,3323,1183,349,25,0,20082,20082,1011,1730,2597,1967,2994,4556,3282,1273,574,95,3
경상남도 창원시 의창구 봉림동(4812154000),15680,15680,633,1093,2775,2117,2137,2948,2695,979,280,23,0,14379,14379,653,975,2058,1562,1869,2918,2658,1050,548,87,1
경상남도 창원시 성산구 (4812300000),127460,127460,9071,13217,19821,18684,19215,24232,17208,4722,1188,99,3,122426,122426,8584,11926,15552,15971,20533,26125,15738,4842,2622,525,8
경상남도 창원시 성산구 반송동(4812351000),20319,20319,1457,2665,2801,2214,3262,3977,2779,929,226,9,0,20086,20086,1407,2407,2199,2123,3711,4133,2662,932,422,87,3
